sample,div_to_ref_4D,covered_4D,clade
700161742,0.005059994969595644,270356,vulgatus
700161743,0.004740417951756678,271706,vulgatus
700161872,0.006605748608883417,273701,vulgatus
700163030,0.004783186821304573,270740,vulgatus
700163181,0.05931761978724303,213107,dorei
700163238,0.007290170560493315,284767,vulgatus
700163699,0.004909409265529974,267853,vulgatus
700163811,0.006630085202089393,272998,vulgatus
700163868,0.007363391696150474,264552,vulgatus
700163981,0.058433467274553744,207056,dorei
700163982,0.005337563873690905,276718,vulgatus
700164050,0.004732957986586214,267486,vulgatus
700164159,0.005873150214151984,272937,vulgatus
700164192,0.0055680192195587275,283045,vulgatus
700164249,0.004718756225880478,271046,vulgatus
700164354,0.0049214991416846555,271462,vulgatus
700164417,0.006525749828685889,284565,vulgatus
700164611,0.004908717647921402,272780,vulgatus
700164686,0.0050240198126156235,268112,vulgatus
700164870,0.059228434950978306,211233,dorei
700165052,0.007601695460426152,279806,vulgatus
700165148,0.005183501908538668,269316,vulgatus
700165263,0.005291291942066674,276870,vulgatus
700165530,0.05763153260859492,215802,dorei
700165634,0.005788813433411125,285378,vulgatus
700166262,0.006947126017144903,284866,vulgatus
700166586,0.005344320702958503,274497,vulgatus
700167107,0.006963463873281193,283336,vulgatus
700167759,0.00631440489782044,270651,vulgatus
700167825,0.0057456842788926364,270986,vulgatus
700171441,0.05910178958167104,210552,dorei
700171679,0.005181308439144841,267693,vulgatus
700171727,0.004932456452186278,270048,vulgatus
700172068,0.004930724437205774,268926,vulgatus
700172132,0.005309721709817198,276474,vulgatus
700172279,0.004910043738684314,272299,vulgatus
700172346,0.005960667803809303,267923,vulgatus
700172393,0.004951556837512018,270420,vulgatus
700172498,0.00636858166379196,271332,vulgatus
700172726,0.005544749804097168,285856,vulgatus
700172870,0.05775925247343349,218320,dorei
700173176,0.05899013900439586,210425,dorei
700173272,0.004887826406767194,271900,vulgatus
700173546,0.005946026202108329,282878,vulgatus
700173627,0.006236882451883717,268724,vulgatus
SRR341624,0.007194857167184639,281868,vulgatus
SRR341626,0.005623512756944025,281141,vulgatus
SRR341628,0.007932807826654521,278842,vulgatus
SRR341632,0.007224983628380337,279447,vulgatus
SRR341633,0.05571023908272668,206874,dorei
SRR341638,0.057321700849507606,261681,dorei
SRR341641,0.006617864017647637,284684,vulgatus
SRR341642,0.05854140538897123,263130,dorei
SRR341644,0.007080611951987922,282179,vulgatus
SRR341648,0.006935583305853847,278996,vulgatus
SRR341651,0.007108996312141483,281193,vulgatus
SRR341652,0.0075159985979771846,276743,vulgatus
SRR341653,0.05656354102639986,263562,dorei
SRR341690,0.06346144643507902,271661,dorei
SRR341691,0.00688847119125242,282501,vulgatus
SRR341692,0.006942440789778333,280737,vulgatus
SRR341693,0.0580243983481274,210670,dorei
SRR341696,0.005766001710791716,284079,vulgatus
SRR341697,0.0060711553443713725,284954,vulgatus
SRR341699,0.007086056492104008,285208,vulgatus
SRR341701,0.006439256001568671,285592,vulgatus
SRR341704,0.0074608174798311,283481,vulgatus
SRR341709,0.007059829778880803,285276,vulgatus
SRR341711,0.00759585888201242,280021,vulgatus
SRR341713,0.007049821304181937,285681,vulgatus
SRR341714,0.06329019948476952,269394,dorei
SRR341716,0.007289825801565261,285192,vulgatus
SRR341721,0.005751660690762826,283918,vulgatus
SRR341723,0.0068105667830564666,283530,vulgatus
SRR413556,0.007287918737232005,282934,vulgatus
SRR413560,0.005926169082648582,286357,vulgatus
SRR413579,0.007362737288792709,283726,vulgatus
SRR413585,0.0627096257160666,269528,dorei
SRR413592,0.05774930452810856,208851,dorei
SRR413593,0.06294908936578525,270965,dorei
SRR413594,0.005614756390893327,286032,vulgatus
SRR413596,0.006637682589118992,283834,vulgatus
SRR413597,0.008125195663203803,277901,vulgatus
SRR413601,0.007384509097574215,283702,vulgatus
SRR413603,0.06261538631615021,271371,dorei
